timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324068.976088,45.55198500164456,alert,high,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324069.9760902,61.23929817900766,alert,low,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Life Path 4
1762324070.9760907,91.17069897196875,alert,low,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Destiny 9
1762324071.9760914,65.19664066732021,move,high,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324072.9760919,60.32151937307977,move,medium,Tlahueto Tlatlacatecolo (Light Against Demons),Nahuatl 2
1762324073.976092,45.782754538826644,move,high,Tlahueto Tlatlacatecolo (Light Against Demons),Life Path 4
1762324074.9760923,52.45244584787946,scan,low,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Life Path 4
1762324075.9760926,65.13943263183309,scan,high,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324076.9760926,45.92069472904786,alert,low,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324077.9760933,13.829543154138445,move,high,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Destiny 9
