timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324069.091214,99.16211415394962,alert,low,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),YTK 7
1762324070.0912185,37.38410260736676,move,medium,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Life Path 4
1762324071.0912187,23.82266256540455,scan,high,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),YTK 7
1762324072.0912192,53.364983180965574,move,medium,Tlahueto Tlatlacatecolo (Light Against Demons),Russian 3
1762324073.0912197,19.894538219265833,alert,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Russian 3
1762324074.091221,27.808892519448914,alert,low,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Nahuatl 2
1762324075.0912216,38.371361918008,scan,high,Tlahueto Tlatlacatecolo (Light Against Demons),Nahuatl 2
1762324076.0912216,91.84205011267615,scan,medium,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324077.091222,58.57639663219663,alert,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),YTK 7
1762324078.0912225,0.45323756778613555,move,low,Tlahueto Tlatlacatecolo (Light Against Demons),Nahuatl 2
