timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324068.973281,94.26894650957016,scan,medium,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Life Path 4
1762324069.973284,16.588957558826344,scan,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),YTK 7
1762324070.9732842,5.415201704186301,move,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),YTK 7
1762324071.9732847,16.67976689954377,alert,low,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Destiny 9
1762324072.9732847,45.17365533070578,scan,medium,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),YTK 7
1762324073.9732864,22.413508823821225,scan,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Russian 3
1762324074.973287,24.026391278485924,move,medium,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Life Path 4
1762324075.9732873,5.886788372905894,scan,high,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Russian 3
1762324076.9732876,35.48081136296215,scan,high,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Nahuatl 2
1762324077.9732883,41.62492277640213,alert,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Nahuatl 2
