timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324068.959372,16.03040124686359,move,medium,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324069.9593742,29.692919870562573,move,high,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Life Path 4
1762324070.9593742,65.83028378262995,move,medium,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324071.9593744,98.42936612828618,move,high,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Life Path 4
1762324072.9593747,84.39748999506016,scan,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Destiny 9
1762324073.959375,1.0714998196881376,move,high,Tlahueto Tlatlacatecolo (Light Against Demons),Russian 3
1762324074.9593751,47.11908870297298,scan,medium,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Life Path 4
1762324075.9593754,86.5820647455417,alert,low,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Nahuatl 2
1762324076.9593754,0.4150578364524926,move,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Nahuatl 2
1762324077.9593756,61.03146455815535,scan,high,Tlahueto Tlatlacatecolo (Light Against Demons),Destiny 9
