timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324069.0517204,77.78989125946241,alert,low,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324070.0517218,89.70207082344783,alert,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Nahuatl 2
1762324071.051722,91.60650374125221,alert,high,Tlahueto Tlatlacatecolo (Light Against Demons),Destiny 9
1762324072.051722,71.14916674854845,scan,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Russian 3
1762324073.051722,89.20649824581322,alert,low,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Destiny 9
1762324074.0517225,22.303616742867906,scan,low,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Russian 3
1762324075.0517225,63.279860690138754,move,high,Tlahueto Tlatlacatecolo (Light Against Demons),Nahuatl 2
1762324076.0517228,57.07099094290166,move,low,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Life Path 4
1762324077.0517228,62.87279259814345,move,medium,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324078.051723,81.58612803265632,alert,medium,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),YTK 7
