timestamp,sensor_data,action,threat_level,nahuatl_warning,numerology
1762324068.9378037,4.087871554615541,alert,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Life Path 4
1762324069.937805,36.51956914947488,alert,medium,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),YTK 7
1762324070.937805,42.222415294878665,move,high,Tlaloc Tlatlauhqui (Tlaloc's Red Thunder),Nahuatl 2
1762324071.9378054,30.004366740197284,alert,high,Huitzilopochtli Tlamahuizolli (Hummingbird Warrior's Glory),Destiny 9
1762324072.9378057,7.15733825705872,alert,high,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324073.937806,14.936107252912779,alert,low,Tlahueto Tlatlacatecolo (Light Against Demons),YTK 7
1762324074.937806,24.654972151676425,scan,low,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Life Path 4
1762324075.9378061,53.43895930245779,alert,low,Tlahueto Tlatlacatecolo (Light Against Demons),Russian 3
1762324076.9378061,53.95054665737161,move,medium,Tlacatecolotl Tlatlacatecolo (Demon Against Demons),Russian 3
1762324077.9378064,4.0420324968178045,scan,high,Tlahueto Tlatlacatecolo (Light Against Demons),Destiny 9
